n1,n2,n3,n4,media,status
1.712,0.211,5.372,2.868,2.541,0
3.702,9.872,4.105,7.975,6.413,1
5.544,6.337,2.120,8.022,5.506,0
8.712,2.550,8.523,1.544,5.332,0
4.804,4.380,2.741,3.399,3.831,0
1.270,2.300,5.161,7.749,4.120,0
6.848,7.193,6.156,1.871,5.517,0
1.427,1.652,3.261,3.168,2.377,0
2.252,5.392,9.526,0.880,4.512,0
7.073,5.078,8.659,8.853,7.416,1
0.921,8.334,6.520,0.096,3.967,0
0.563,5.058,0.231,5.261,2.778,0
4.145,0.936,7.731,3.631,4.111,0
9.957,5.161,2.549,5.301,5.742,0
5.381,8.072,1.794,7.999,5.811,0
9.925,9.605,7.560,2.627,7.429,1
3.156,9.724,4.388,8.817,6.521,1
2.190,0.622,4.236,3.436,2.621,0
5.720,9.345,4.148,1.624,5.209,0
2.819,0.978,0.872,1.089,1.439,0
1.397,3.513,3.425,0.852,2.297,0
3.169,4.900,4.086,9.853,5.502,0
8.536,1.431,3.703,7.636,5.326,0
2.389,5.679,3.568,9.378,5.254,0
5.644,8.520,9.364,6.424,7.488,1
9.130,0.289,7.345,4.142,5.227,0
4.501,1.377,9.519,4.939,5.084,0
6.971,6.299,6.336,8.987,7.148,1
9.207,1.735,8.653,0.402,4.999,0
7.376,1.781,9.639,8.569,6.841,1
9.305,1.156,6.052,5.770,5.571,0
3.997,0.311,2.930,9.412,4.162,0
1.963,8.558,5.388,1.630,4.385,0
2.784,7.726,4.413,7.823,5.686,0
8.942,5.879,7.347,4.292,6.615,1
3.493,8.408,6.094,9.537,6.883,1
3.071,0.831,0.792,6.327,2.755,0
8.305,3.917,6.204,8.221,6.662,1
7.992,4.823,4.716,3.373,5.226,0
6.903,6.414,0.526,9.288,5.783,0
3.229,7.491,6.529,4.499,5.437,0
6.949,4.154,7.699,9.564,7.092,1
0.944,0.502,4.304,5.284,2.759,0
0.088,4.222,6.767,2.373,3.363,0
0.200,4.811,8.289,9.217,5.629,0
3.041,7.501,7.437,9.195,6.793,1
0.236,3.869,5.290,3.389,3.196,0
8.885,2.799,7.426,6.071,6.295,1
0.168,5.426,5.493,4.116,3.801,0
4.106,7.763,3.546,1.059,4.118,0
0.966,2.363,8.017,9.922,5.317,0
2.471,8.142,4.028,7.778,5.605,0
3.549,5.792,3.413,1.406,3.540,0
0.393,1.377,9.154,5.241,4.041,0
9.426,0.822,7.895,2.549,5.173,0
5.260,4.048,2.723,3.354,3.846,0
8.165,1.773,0.426,7.714,4.519,0
6.796,7.052,0.243,9.040,5.783,0
5.586,6.697,3.005,3.469,4.689,0
6.023,4.798,4.815,6.153,5.447,0
4.830,8.192,2.737,9.645,6.351,1
6.908,1.017,7.867,3.270,4.766,0
5.155,2.751,8.464,2.020,4.597,0
8.722,4.018,2.216,1.853,4.202,0
1.888,0.242,0.521,0.264,0.729,0
1.857,3.887,1.858,4.871,3.118,0
3.382,7.005,1.639,5.835,4.465,0
6.226,7.152,0.915,7.485,5.444,0
1.709,2.919,9.356,9.892,5.969,0
7.862,5.352,3.893,7.077,6.046,1
7.833,0.065,7.039,3.692,4.657,0
2.521,5.957,0.570,6.227,3.819,0
3.873,0.874,5.412,8.999,4.790,0
9.864,5.094,7.407,4.588,6.738,1
0.547,2.410,0.962,4.696,2.154,0
